1100;0;0
830;0;270
630;0;200
441;0;189
333;6;114
286;61;108
326;160;120
424;225;127
528;260;156
622;286;192
732;295;185
789;280;223
878;331;242
776;83;185
937;431;270
1118;493;312
1223;448;343
1329;446;340
1449;491;371
1589;525;385
1785;629;433
1950;639;474
2101;662;511
2344;834;591
2653;950;641
2758;735;630
3076;1055;737
3314;1068;830
3614;1220;920
4101;1459;972
4627;1613;1087
4972;1652;1307
5297;1660;1335
5717;1829;1409
6288;2015;1444
6827;2185;1646
7477;2423;1773
8032;2479;1924
8784;2897;2145
9669;3207;2322
10501;3353;2521
11521;3837;2817
12596;4015;2940
13500;4138;3234
14590;4594;3504
15967;5110;3733
17607;5761;4121
19331;6391;4667
21117;6853;5067
22680;7043;5480
24804;8057;5933
27106;8854;6552
29250;9159;7015
31959;10376;7667
34488;10839;8310
37856;12407;9039
41413;13448;9891
45260;14685;10838
49336;15721;11645
53794;17298;12840
58842;18919;13871
63901;20362;15303
69973;22655;16583
76232;24254;17995
83439;26817;19610
90896;29308;21851
99145;32038;23789
108308;35079;25916
117698;37850;28460
128431;41631;30898
139861;45113;33683
152013;48360;36208
165533;53222;39702
180190;57835;43178
195947;62838;47081
214691;69551;50807
234122;75357;55926
255252;81920;60790
278164;89566;66654
303511;98032;72685
331164;106475;78822
361618;117037;86583
394070;126665;94213
429257;138708;103521
468139;150990;112108
509711;163854;122282
555675;178886;132922
607478;195829;144026
662444;212737;157771
722245;232632;172831
786996;252850;188099
858732;277368;205632
935396;301961;225297
1019092;327171;243475
1112310;359494;266276
1212631;390582;290261
1321357;424413;315687
1441540;465945;345762
1572090;507180;376630
1712457;549321;408954
1868114;603729;448072
